Season,Show Title,Resturant,City,State,Business ID,Rating,Error,"Chita, Zabaykalsky Krai, Russia",Latitude,Longitude,
1,Classics,Mac and Ernies,Tarpley,Texas,Mac-and-Ernies-Tarpley,4,36,"Tarpley, TX 78003, USA",29.6571703,-99.2764299,
1,Classics,Brints Diner,Wichita,Kansas,Brints-Diner-Wichita,3.5,26,"Wichita, KS, USA",37.688889,-97.336111,
1,Classics,Mad Greeks Diner,Baker,California,The-Mad-Greek-Baker,3,905,Baker,CA,USA,35.267516,-116.073907,
1,Thats Italian,Four Kegs Sports Pub,Las Vegas,Nevada,Four-Kegs-Sports-Bar-Las-Vegas,4,291,"Las Vegas, NV, USA",36.1699412,-115.1398296,
1,Thats Italian,Hullabaloo Diner,Wellborn,Texas,Hullabaloo-Diner-Wellborn,3.5,96,"Wellborn, FL, USA",30.2304453,-82.8192807,
1,Thats Italian,Pizza Palace,Knoxville,Tennessee,Pizza-Palace-Knoxville,3.5,76,"Knoxville, TN, USA",35.9606384,-83.9207392,
1,Blue Plate Special,The Penguin,Charlotte,North Carolina,The-Penguin-Charlotte,Closed,Error,"Charlotte, NC, USA",35.2270869,-80.8431267,
1,Blue Plate Special,Patricks Roadhouse,Santa Monica,California,Patricks-Roadhouse-Santa-Monica,3.5,310,"Santa Monica, CA, USA",34.0194543,-118.4911912,
1,Blue Plate Special,Frosted Mug,Alsip,Illinois,Frosted-Mug-Alsip,Closed,Error,"Alsip, IL, USA",41.6689223,-87.7386619,
1,Breakfast,The Coffee Cup,Boulder City,Nevada,The-Coffee-Cup-Boulder-City,4,273,"Boulder, CO, USA",40.0149856,-105.2705456,
1,Breakfast,Franks Diner,Kenosha,Wisconsin,Franks-Diner-Kenosha,4,192,"Kenosha, WI, USA",42.5847425,-87.8211854,
1,Breakfast,Gaffey Street Diner,San Pedro,California,Gaffey-Street-Diner-San-Pedro,3.5,372,"San Pedro,CA,USA,33.736062,-118.292246,
1,BBQ,Louie Mueller BBQ,Taylor,Texas,Louie-Mueller-BBQ-Taylor,4,283,"Taylor, MI, USA",42.240872,-83.2696509,
1,BBQ,Baby Blues BBQ,Venice,California,Baby-Blues-BBQ-Venice,4,1760,"Venice, Italy",,45.4408474,12.3155151,
1,BBQ,Barbecue King Drive-In,Charlotte,North Carolina,Bar-B-Q-King-Charlotte,3.5,81,"Charlotte, NC, USA",35.2270869,-80.8431267,
1,Local Legends,Eveready Diner,Hyde Park,New York,Eveready-Diner-Hyde-Park,3.5,142,"Hyde Park, NY, USA",41.7667602,-73.9015246,
1,Local Legends,Leos BBQ,Oklahoma City,Oklahoma,Leos-BBQ-Oklahoma-City,4,80,"Oklahoma City, OK, USA",35.4675602,-97.5164276,
1,Local Legends,A1 Diner,Gardiner,Maine,A1-Diner-Gardiner,4,50,"Gardiner, ME, USA",44.2300698,-69.7753222,
1,Burgers,Triple XXX Restaurant,West Lafayette,Indiana,Triple-XXX-Restaurant-West-Lafayette,3.5,207,"West Lafayette, IN, USA",40.4258686,-86.9080655,
1,Burgers,Hackneys,Glenview,Illinois,Hackneys-Glenview,3,137,"Glenview, IL, USA",42.0697509,-87.7878408,
1,Burgers,Squeeze Inn,Sacramento,California,Squeeze-Inn-Sacramento,3.5,1339,"Sacramento, CA, USA",38.5815719,-121.4943996,
1,House Specials,Red Arrow Diner,Manchester,New Hampshire,The-Red-Arrow-Diner-Manchester-2,4,263,"Manchester,NH,USA,42.99564,-71.454789,
1,House Specials,Hanks Creekside Restaurant,Santa Rosa,California,Hanks-Creekside-Restaurant-Santa-Rosa,4,238,"Santa Rosa, CA, USA",38.440429,-122.7140548,
1,House Specials,Voulas Offshore Cafe,Seattle,Washington,Voulas-Offshore-Cafe-Seattle,4,420,"Seattle, WA, USA",47.6062095,-122.3320708,
1,Retro,Southside Soda Shop and Diner,Goshen,Indiana,South-side-Soda-Shop-Goshen-2,4,50,"Goshen, IN, USA",41.5822716,-85.8344383,
1,Retro,Taylors Automatic Refresher,Saint Helena,California,Taylors-Automatic-Refresher-Saint-Helena,4,1229,"Saint Helena, CA 94574, USA",38.5052429,-122.4703868,
1,Retro,Byways Cafe,Portland,Oregon,Byways-Cafe-Portland,4,402,"Portland, OR, USA",45.5230622,-122.6764816,
1,Worth the Trip,Big Star Diner,Bainbridge Island,Washington,Big-Star-Diner-Bainbridge-Island,3.5,108,"Bainbridge Island, WA, USA",47.6262081,-122.5212448,
1,Worth the Trip,Harolds Cafe,Gaffney,South Carolina,Harolds-Restaurant-Gaffney,2.5,19,"Gaffney, SC, USA",35.0717945,-81.6498195,
1,Worth the Trip,Mo Gridders BBQ,Bronx,New York,MoGridders-BBQ-Bronx,3,34,"Bronx County, NY, USA",40.8370495,-73.8654295,
1,Diners A-Plenty,Kellys Diner,Somerville,Massachusetts,Kellys-Diner-Somerville,4,173,"Somerville, MA, USA",42.3875968,-71.0994968,
1,Diners A-Plenty,Bay Way Diner,Linden,New Jersey,Bayway-Diner-Linden,3,9,"Linden, NJ, USA",40.6220478,-74.2445902,
1,Diners A-Plenty,Beacon Drive-In,Spartanburg,South Carolina,Beacon-Drive-In-Spartanburg,3,122,"Spartanburg, SC, USA",34.9495672,-81.9320482,
1,American Cookin,Rosies Diner,Rockford,Michigan,Rosies-Diner-Rockford,3,23,"Rockford, IL, USA",42.2711311,-89.0939952,
1,American Cookin,Dari-ette Drive-In,Saint Paul,Minnesota,Dari-ette-Drive-In-Saint-Paul,3.5,51,"Saint Paul, MN, USA",44.9537029,-93.0899578,
1,American Cookin,The Russian River Pub,Forestville,California,Russian-River-Pub-Forestville,4.5,118,"Forestville, QC, Canada",48.7391752,-69.087641,
1,American Cookin,Als Breakfast,Minneapolis,Minnesota,Als-Breakfast-Minneapolis,4.5,309,"Minneapolis, MN, USA",44.977753,-93.2650108,
2,Totally Fried,Falafels Drive-In,San Jose,California,Falafels-Drive-In-San-Jose,4,3404,"San Jose, CA, USA",37.3382082,-121.8863286,
2,Totally Fried,Ramona Cafe,Ramona,California,Ramona-Cafe-Ramona-2,3,146,"Ramona, Ramona, USA",33.0413604,-116.8792553,
2,Totally Fried,Silk City Diner,Philadelphia,Pennsylvania,Silk-City-Diner-And-Lounge-Philadelphia,4,557,"Philadelphia, PA, USA",39.9525839,-75.1652215,
