Season,Show Title,Resturant,City,State,Business ID,Rating,Error
1,Classics,Mac and Ernies,Tarpley,Texas,Mac-and-Ernies-Tarpley,4,36
1,Classics,Brints Diner,Wichita,Kansas,Brints-Diner-Wichita,3.5,26
1,Classics,Mad Greeks Diner,Baker,California,The-Mad-Greek-Baker,3,905
1,Thats Italian,Four Kegs Sports Pub,Las Vegas,Nevada,Four-Kegs-Sports-Bar-Las-Vegas,4,291
1,Thats Italian,Hullabaloo Diner,Wellborn,Texas,Hullabaloo-Diner-Wellborn,3.5,96
1,Thats Italian,Pizza Palace,Knoxville,Tennessee,Pizza-Palace-Knoxville,3.5,76
1,Blue Plate Special,The Penguin,Charlotte,North Carolina,The-Penguin-Charlotte,Closed,Error
1,Blue Plate Special,Patricks Roadhouse,Santa Monica,California,Patricks-Roadhouse-Santa-Monica,3.5,310
1,Blue Plate Special,Frosted Mug,Alsip,Illinois,Frosted-Mug-Alsip,Closed,Error
1,Breakfast,The Coffee Cup,Boulder City,Nevada,The-Coffee-Cup-Boulder-City,4,273
1,Breakfast,Franks Diner,Kenosha,Wisconsin,Franks-Diner-Kenosha,4,192
1,Breakfast,Gaffey Street Diner,San Pedro,California,Gaffey-Street-Diner-San-Pedro,3.5,372
1,BBQ,Louie Mueller BBQ,Taylor,Texas,Louie-Mueller-BBQ-Taylor,4,283
1,BBQ,Baby Blues BBQ,Venice,California,Baby-Blues-BBQ-Venice,4,1760
1,BBQ,Barbecue King Drive-In,Charlotte,North Carolina,Bar-B-Q-King-Charlotte,3.5,81
1,Local Legends,Eveready Diner,Hyde Park,New York,Eveready-Diner-Hyde-Park,3.5,142
1,Local Legends,Leos BBQ,Oklahoma City,Oklahoma,Leos-BBQ-Oklahoma-City,4,80
1,Local Legends,A1 Diner,Gardiner,Maine,A1-Diner-Gardiner,4,50
1,Burgers,Triple XXX Restaurant,West Lafayette,Indiana,Triple-XXX-Restaurant-West-Lafayette,3.5,207
1,Burgers,Hackneys,Glenview,Illinois,Hackneys-Glenview,3,137
1,Burgers,Squeeze Inn,Sacramento,California,Squeeze-Inn-Sacramento,3.5,1339
1,House Specials,Red Arrow Diner,Manchester,New Hampshire,The-Red-Arrow-Diner-Manchester-2,4,263
1,House Specials,Hanks Creekside Restaurant,Santa Rosa,California,Hanks-Creekside-Restaurant-Santa-Rosa,4,238
