Business ID,Rating
Mac-and-Ernies-Tarpley,4
Brints-Diner-Wichita,3.5
The-Mad-Greek-Baker,3
Four-Kegs-Sports-Pub-Las-Vegas,KeyError
Four-Kegs-Sports-Pub-Las-Vegas,3.5
Hullabaloo-Diner-Wellborn,3.5
Pizza-Palace-Knoxville,KeyError
The-Penguin-Charlotte,3.5
The-Penguin-Charlotte,KeyError
Patricks-Roadhouse-Santa-Monica,4
Frosted-Mug-Alsip,4
Frosted-Mug-Alsip,3.5
The-Coffee-Cup-Boulder-City,4
Franks-Diner-Kenosha,4
Gaffey-Street-Diner-San-Pedro,KeyError
Louie-Mueller-BBQ-Taylor,3.5
Baby-Blues-BBQ-Venice,4
Barbecue-King-Drive-In-Charlotte,4
Barbecue-King-Drive-In-Charlotte,3.5
Eveready-Diner-Hyde-Park,3
Leos-BBQ-Oklahoma-City,3.5
A1-Diner-Gardiner,KeyError
Triple-XXX-Restaurant-West-Lafayette,4
Hackneys-Glenview,4
Squeeze-Inn-Sacramento,KeyError
Red-Arrow-Diner-Manchester,4
Red-Arrow-Diner-Manchester,4
Hanks-Creekside-Restaurant-Santa-Rosa,3.5
Voulas-Offshore-Cafe-Seattle,KeyError
Southside-Soda-Shop-and-Diner-Goshen,KeyError
Southside-Soda-Shop-and-Diner-Goshen,4
Taylors-Automatic-Refresher-Saint-Helena,KeyError
Byways-Cafe-Portland,3
Big-Star-Diner-Bainbridge-Island,3
Harolds-Cafe-Gaffney,3.5
Harolds-Cafe-Gaffney,KeyError
Mo-Gridders-BBQ-Bronx,4.5
Mo-Gridders-BBQ-Bronx,4
Kellys-Diner-Somerville,KeyError
Bay-Way-Diner-Linden,KeyError
Bay-Way-Diner-Linden,4.5
Beacon-Drive-In-Spartanburg,KeyError
Rosies-Diner-Rockford,4.5
Dari-ette-Drive-In-Saint-Paul,3
The-Russian-River-Pub-Forestville,4
The-Russian-River-Pub-Forestville,4
Als-Breakfast-Minneapolis,4
Falafels-Drive-In-San-Jose,3.5
Ramona-Cafe-Ramona,3.5
Ramona-Cafe-Ramona,KeyError
Silk-City-Diner-Philadelphia,4
Silk-City-Diner-Philadelphia,KeyError
Emma-Jeans-Holland-Burger-Cafe-Victorville,KeyError
The-Rock-Cafe-Stroud,4.5
The-Rock-Cafe-Stroud,KeyError
Cafe-on-the-Route-Baxter-Springs,4
Evelyns-Drive-In-Tiverton,3.5
Hodads-Ocean-Beach,3.5
Keegans-Seafood-Grille-Indian-Rocks-Beach,KeyError
Clantons-Cafe-Vinita,3
Mikes-Chili-Parlor-Seattle,KeyError
Duartes-Tavern-Pescadero,3
Bobbys-Hawaiian-Style-Restaurant-Everett,3.5
Bobbys-Hawaiian-Style-Restaurant-Everett,4
Ted-Peters-Famous-Smoked-Fish-South-Pasadena,4.5
Psycho-Suzies-Motor-Lounge-Minneapolis,3.5
Psycho-Suzies-Motor-Lounge-Minneapolis,3.5
Jay-Bees-Bar-B-Que-Gardena,3.5
Jay-Bees-Bar-B-Que-Gardena,3.5
Smoque-Chicago,4
BBQ-Shack-Paola,4
BBQ-Shack-Paola,KeyError
Mikes-City-Diner-Boston,KeyError
Willie-Birds-Restaurant-Santa-Rosa,KeyError
