1,*Classics*,Mac & Ernie's,"Tarpley, Texas",04/23/07
1,*Classics*,Brint's Diner,"Wichita, Kansas",04/23/07
1,*Classics*,Mad Greek's Diner,"Baker, California",04/23/07
2,*That's Italian*,Four Kegs Sports Pub,"Las Vegas, Nevada",04/30/07
2,*That's Italian*,Hullabaloo Diner,"Wellborn, Texas",04/30/07
2,*That's Italian*,Pizza Palace,"Knoxville, Tennessee",04/30/07
3,*Blue Plate Special*,The Penguin,"Charlotte, North Carolina",05/07/07
3,*Blue Plate Special*,Patrick's Roadhouse,"Santa Monica, California",05/07/07
3,*Blue Plate Special*,Frosted Mug,"Alsip, Illinois",05/07/07
4,*Breakfast*,The Coffee Cup,"Boulder City, Nevada",05/21/07
4,*Breakfast*,Frank's Diner,"Kenosha, Wisconsin",05/21/07
4,*Breakfast*,Gaffey Street Diner,"San Pedro, California",05/21/07
5,*BBQ*,Louie Mueller BBQ,"Taylor, Texas",05/28/07
5,*BBQ*,Baby Blues BBQ,"Venice, California",05/28/07
5,*BBQ*,Barbecue King Drive-In,"Charlotte, North Carolina",05/28/07
6,*Local Legends*,Eveready Diner,"Hyde Park, New York",06/04/07
6,*Local Legends*,Leo's BBQ,"Oklahoma City, Oklahoma",06/04/07
6,*Local Legends*,A1 Diner,"Gardiner, Maine",06/04/07
7,*Burgers*,Triple XXX Restaurant,"West Lafayette, Indiana",06/11/07
7,*Burgers*,Hackney's,"Glenview, Illinois",06/11/07
7,*Burgers*,Squeeze Inn,"Sacramento, California",06/11/07
8,*House Specials*,Red Arrow Diner,"Manchester, New Hampshire",06/18/07
8,*House Specials*,Hank's Creekside Restaurant,"Santa Rosa, California",06/18/07
8,*House Specials*,Voula's Offshore Café,"Seattle, Washington",06/18/07
9,*Retro*,Southside Soda Shop and Diner,"Goshen, Indiana",07/09/07
9,*Retro*,Taylor's Automatic Refresher,"St. Helena, California",07/09/07
9,*Retro*,Byways Café,"Portland, Oregon",07/09/07
10,*Worth the Trip*,Big Star Diner,"Bainbridge Island, Washington",07/16/07
10,*Worth the Trip*,Harold's Café,"Gaffney, South Carolina",07/16/07
10,*Worth the Trip*,Mo Gridder's BBQ,"Bronx, New York",07/16/07
11,*Diners A-Plenty*,Kelly's Diner,"Somerville, Massachusetts",07/23/07
11,*Diners A-Plenty*,Bay Way Diner,"Linden, New Jersey",07/23/07
11,*Diners A-Plenty*,Beacon Drive-In,"Spartanburg, South Carolina",07/23/07
12,*American Cookin'*,Rosie's Diner,"Rockford, Michigan",07/30/07
12,*American Cookin'*,Dari-ette Drive-In,"St. Paul, Minnesota",07/30/07
12,*American Cookin'*,The Russian River Pub,"Forestville, California",07/30/07
12,*American Cookin'*,Al's Breakfast,"Minneapolis, Minnesota",07/30/07
